,EC-NUMBER,PRODUCTS
83,EC-1.1.1,Acceptor
84,EC-1.1.1,CPD-19088
85,EC-1.1.1,NADH
86,EC-1.1.1,PROTON
87,EC-1.1.1,cis-D21-39-oxo-40-Me-C59-1-ACPs
88,EC-1.1.1,Donor-H2
89,EC-1.1.1,CPD-10353
90,EC-1.1.1,NADH
91,EC-1.1.1,PROTON
92,EC-1.1.1,CPD-15642
93,EC-1.1.1,NADH-P-OR-NOP
94,EC-1.1.1,PROTON
95,EC-1.1.1,GLYCEROL
96,EC-1.1.1,NAD-P-OR-NOP
97,EC-1.1.1,CPD-12906
98,EC-1.1.1,Donor-H2
99,EC-1.1.1,CPD-10512
100,EC-1.1.1,NADPH
101,EC-1.1.1,PROTON
102,EC-1.1.1,PROTON
103,EC-1.1.1,CPD-7257
104,EC-1.1.1,NADH
105,EC-1.1.1,3S-11-cis-3-hydroxyretinal-RBPs
106,EC-1.1.1,NADPH
107,EC-1.1.1,PROTON
108,EC-1.1.1,CPD-16423
109,EC-1.1.1,NADPH
110,EC-1.1.1,PROTON
111,EC-1.1.1,CPD-380
112,EC-1.1.1,Donor-H2
113,EC-1.1.1,HYDROXYPROPANAL
114,EC-1.1.1,NADPH
115,EC-1.1.1,PROTON
116,EC-1.1.1,CPD-12680
117,EC-1.1.1,CARBON-DIOXIDE
118,EC-1.1.1,NADH
119,EC-1.1.1,CPD-13987
120,EC-1.1.1,NADPH
121,EC-1.1.1,PROTON
122,EC-1.1.1,CPD-17012
123,EC-1.1.1,NADH-P-OR-NOP
124,EC-1.1.1,PROTON
125,EC-1.1.1,CPD-14806
126,EC-1.1.1,NADH
127,EC-1.1.1,PROTON
128,EC-1.1.1,DIACETYL
129,EC-1.1.1,NADPH
130,EC-1.1.1,PROTON
131,EC-1.1.1,CPD-17409
132,EC-1.1.1,NADP
133,EC-1.1.1,3R-All-trans-3-hydroxyretinal-RBPs
134,EC-1.1.1,NADPH
135,EC-1.1.1,PROTON
136,EC-1.1.1,PROTON
137,EC-1.1.1,25-DICHLOROHYDROQUINONE
138,EC-1.1.1,NADH
139,EC-1.1.1,CPD-16613
140,EC-1.1.1,NADH-P-OR-NOP
141,EC-1.1.1,PROTON
142,EC-1.1.1,CPD-7000
143,EC-1.1.1,NADPH
144,EC-1.1.1,PROTON
145,EC-1.1.1,CPD-18245
146,EC-1.1.1,NADH-P-OR-NOP
147,EC-1.1.1,PROTON
148,EC-1.1.1,CPD-17623
149,EC-1.1.1,NADPH
150,EC-1.1.1,PROTON
151,EC-1.1.1,CPD-16724
152,EC-1.1.1,NADPH
153,EC-1.1.1,PROTON
154,EC-1.1.1,CPD-14357
155,EC-1.1.1,NADPH
156,EC-1.1.1,PROTON
157,EC-1.1.1,CPD-13059
158,EC-1.1.1,NAD-P-OR-NOP
159,EC-1.1.1,CPD-17728
160,EC-1.1.1,NADH
161,EC-1.1.1,CARBON-DIOXIDE
162,EC-1.1.1,BETAINE_ALDEHYDE
163,EC-1.1.1,NADH
164,EC-1.1.1,PROTON
165,EC-1.1.1,CPD-16614
166,EC-1.1.1,NADH-P-OR-NOP
167,EC-1.1.1,PROTON
168,EC-1.1.1,CPD-10260
169,EC-1.1.1,NADPH
170,EC-1.1.1,PROTON
171,EC-1.1.1,CPD-17502
172,EC-1.1.1,NADP
173,EC-1.1.1,CPD-15236
174,EC-1.1.1,NADH
175,EC-1.1.1,PROTON
176,EC-1.1.1,FRUCTURONATE
177,EC-1.1.1,NADPH
178,EC-1.1.1,PROTON
179,EC-1.1.1,CPD4FS-7
180,EC-1.1.1,Acceptor
181,EC-1.1.1,PROTON
182,EC-1.1.1,CPD-10220
183,EC-1.1.1,NADH
184,EC-1.1.1,CPD-1089
185,EC-1.1.1,NADH
186,EC-1.1.1,PROTON
187,EC-1.1.1,CPD-13228
188,EC-1.1.1,NADPH
189,EC-1.1.1,PROTON
190,EC-1.1.1,CPD-18134
191,EC-1.1.1,NAD-P-OR-NOP
192,EC-1.1.1,CPD1A0-6105
193,EC-1.1.1,NADP
194,EC-1.1.1,2-OXOBUTANOATE
195,EC-1.1.1,CARBON-DIOXIDE
196,EC-1.1.1,NADH
197,EC-1.1.1,BUTANAL
198,EC-1.1.1,NADH
199,EC-1.1.1,PROTON
200,EC-1.1.1,PROTON
201,EC-1.1.1,25-DIDEHYDRO-D-GLUCONATE
202,EC-1.1.1,NADPH
203,EC-1.1.1,CPD-13560
204,EC-1.1.1,NAD-P-OR-NOP
205,EC-1.1.1,CPD-18545
206,EC-1.1.1,NADH
207,EC-1.1.1,PROTON
208,EC-1.1.1,CPD-14102
209,EC-1.1.1,NAD-P-OR-NOP
210,EC-1.1.1,CPD-17633
211,EC-1.1.1,NADPH
212,EC-1.1.1,PROTON
213,EC-1.1.1,CPD-18213
214,EC-1.1.1,NADH-P-OR-NOP
215,EC-1.1.1,PROTON
216,EC-1.1.1,CIS-3-HEXENOL
217,EC-1.1.1,NADP
218,EC-1.1.1,CPD-16848
219,EC-1.1.1,NAD
220,EC-1.1.1,CPD-12970
221,EC-1.1.1,NADH
222,EC-1.1.1,PROTON
223,EC-1.1.1,CPD-13954
224,EC-1.1.1,NADPH
225,EC-1.1.1,PROTON
226,EC-1.1.1,CPD-18129
227,EC-1.1.1,NAD-P-OR-NOP
228,EC-1.1.1,CPD-17489
229,EC-1.1.1,NADPH
230,EC-1.1.1,PROTON
231,EC-1.1.1,HEXANAL
232,EC-1.1.1,NADH
233,EC-1.1.1,PROTON
234,EC-1.1.1,CPD-9848
235,EC-1.1.1,NADPH
236,EC-1.1.1,PROTON
237,EC-1.1.1,CPD-16887
238,EC-1.1.1,NADH
239,EC-1.1.1,PROTON
240,EC-1.1.1,CPD-17966
241,EC-1.1.1,NADPH
242,EC-1.1.1,PROTON
243,EC-1.1.1,CPD-13699
244,EC-1.1.1,NADH
245,EC-1.1.1,PROTON
246,EC-1.1.1,CPD-12694
247,EC-1.1.1,NADPH
248,EC-1.1.1,PROTON
249,EC-1.1.1,SULFOACETALDEHYDE
250,EC-1.1.1,WATER
251,EC-1.1.1,Acceptor
252,EC-1.1.1,CPD-15903
253,EC-1.1.1,NADPH
254,EC-1.1.1,PROTON
255,EC-1.1.1,CPD-18186
256,EC-1.1.1,CPD-16614
257,EC-1.1.1,NADH-P-OR-NOP
258,EC-1.1.1,PROTON
259,EC-1.1.1,2-Oxo-4-IPCH-1-carboxyl-CoA
260,EC-1.1.1,NADH
261,EC-1.1.1,PROTON
262,EC-1.1.1,CPD-16837
263,EC-1.1.1,NADH-P-OR-NOP
264,EC-1.1.1,PROTON
265,EC-1.1.1,CPD-14061
266,EC-1.1.1,NADH
267,EC-1.1.1,PROTON
268,EC-1.1.1,CPD-7093
269,EC-1.1.1,NADH-P-OR-NOP
270,EC-1.1.1,PROTON
271,EC-1.1.1,HYDROXYLATED-TETRAKETIDE-PYRONE
272,EC-1.1.1,NADPH
273,EC-1.1.1,PROTON
274,EC-1.1.1,DIACETYL
275,EC-1.1.1,NADH
276,EC-1.1.1,PROTON
277,EC-1.1.1,GLYCEROL
278,EC-1.1.1,NAD-P-OR-NOP
279,EC-1.1.1,METHYLOXALO-ACETATE
280,EC-1.1.1,NADH
281,EC-1.1.1,PROTON
282,EC-1.1.1,CPD-17501
283,EC-1.1.1,NADP
284,EC-1.1.1,NAD-P-OR-NOP
285,EC-1.1.1,D-SORBITOL-6-P
286,EC-1.1.1,CPD-17059
287,EC-1.1.1,Donor-H2
288,EC-1.1.1,CPD-337
289,EC-1.1.1,CARBON-DIOXIDE
290,EC-1.1.1,NADH
291,EC-1.1.1,CPD-11572
292,EC-1.1.1,NADH
293,EC-1.1.1,PROTON
294,EC-1.1.1,3-DEHYDRO-ALPHA-GLUCOSE
295,EC-1.1.1,NADPH
296,EC-1.1.1,PROTON
297,EC-1.1.1,CPD-13525
298,EC-1.1.1,NADH
299,EC-1.1.1,PROTON
300,EC-1.1.1,CPD-12694
301,EC-1.1.1,NADH
302,EC-1.1.1,PROTON
303,EC-1.1.1,CPD-7725
304,EC-1.1.1,Donor-H2
305,EC-1.1.1,CPD-13381
306,EC-1.1.1,NADPH
307,EC-1.1.1,PROTON
308,EC-1.1.1,CPD-13847
309,EC-1.1.1,NADH-P-OR-NOP
310,EC-1.1.1,PROTON
311,EC-1.1.1,ECDYSONE
312,EC-1.1.1,NAD
313,EC-1.1.1,CPD-13036
314,EC-1.1.1,NADH
315,EC-1.1.1,PROTON
316,EC-1.1.1,CPD-13059
317,EC-1.1.1,Donor-H2
318,EC-1.1.1,PROTON
319,EC-1.1.1,PROTON
320,EC-1.1.1,METHYL-GLYOXAL
321,EC-1.1.1,NADPH
322,EC-1.1.1,CPD-19486
323,EC-1.1.1,NADH
324,EC-1.1.1,PROTON
325,EC-1.1.1,CPD-881
326,EC-1.1.1,NADPH
327,EC-1.1.1,PROTON
328,EC-1.1.1,CPD-17419
329,EC-1.1.1,NADP
330,EC-1.1.1,CPD-15607
331,EC-1.1.1,NADP
332,EC-1.1.1,CPD-14638
333,EC-1.1.1,NADH
334,EC-1.1.1,PROTON
335,EC-1.1.1,CPD-358
336,EC-1.1.1,NADPH
337,EC-1.1.1,PROTON
338,EC-1.1.1,CPD-17645
339,EC-1.1.1,NADPH
340,EC-1.1.1,PROTON
341,EC-1.1.1,3-INDOLEGLYOXAL
342,EC-1.1.1,NADH
343,EC-1.1.1,PROTON
344,EC-1.1.1,CPD-8742
345,EC-1.1.1,NADH
346,EC-1.1.1,PROTON
347,EC-1.1.1,PROTON
348,EC-1.1.1,5-ACETAMIDOVALERATE
349,EC-1.1.1,NADH
350,EC-1.1.1,CARBON-DIOXIDE
351,EC-1.1.1,CPD-291
352,EC-1.1.1,CARBON-DIOXIDE
353,EC-1.1.1,NADH
354,EC-1.1.1,18-OXOOLEATE
355,EC-1.1.1,NADPH
356,EC-1.1.1,PROTON
357,EC-1.1.1,L-GULONO-1-4-LACTONE
358,EC-1.1.1,NADH
359,EC-1.1.1,PROTON
360,EC-1.1.1,CPD0-2357
361,EC-1.1.1,NADH
362,EC-1.1.1,PROTON
363,EC-1.1.1,CPD-13536
364,EC-1.1.1,NADH
365,EC-1.1.1,PROTON
366,EC-1.1.1,OXALO-SUCCINATE
367,EC-1.1.1,NADH
368,EC-1.1.1,PROTON
369,EC-1.1.1,ETHYL-2-METHYLACETOACETATE
370,EC-1.1.1,NADPH
371,EC-1.1.1,PROTON
372,EC-1.1.1,CPD-11540
373,EC-1.1.1,NADPH
374,EC-1.1.1,PROTON
375,EC-1.1.1,CPD-19289
376,EC-1.1.1,NADPH
377,EC-1.1.1,PROTON
378,EC-1.1.1,BENZOYLSUCCINYL-COA
379,EC-1.1.1,NADH
380,EC-1.1.1,PROTON
381,EC-1.1.1,CPD-15754
382,EC-1.1.1,NADPH
383,EC-1.1.1,PROTON
384,EC-1.1.1,CPD-13982
385,EC-1.1.1,NADPH
386,EC-1.1.1,PROTON
387,EC-1.1.1,PHENYLACETALDEHYDE
388,EC-1.1.1,NADPH
389,EC-1.1.1,PROTON
390,EC-1.1.1,CPD-356
391,EC-1.1.1,NADPH
392,EC-1.1.1,PROTON
393,EC-1.1.1,CPD-9026
394,EC-1.1.1,NADH
395,EC-1.1.1,PROTON
396,EC-1.1.1,TYLOSIN
397,EC-1.1.1,NADPH
398,EC-1.1.1,PROTON
399,EC-1.1.1,CPD-13958
400,EC-1.1.1,NADPH
401,EC-1.1.1,PROTON
402,EC-1.1.1,CPD-17411
403,EC-1.1.1,NAD-P-OR-NOP
404,EC-1.1.1,DEHYDROSPHINGANINE
405,EC-1.1.1,NADH
406,EC-1.1.1,PROTON
407,EC-1.1.1,NADPH
408,EC-1.1.1,PROTON
409,EC-1.1.1,All-trans-3-hydroxyretinal-RBPs
410,EC-1.1.1,CPD-1075
411,EC-1.1.1,NADH
412,EC-1.1.1,PROTON
413,EC-1.1.1,CPD-13230
414,EC-1.1.1,NADP
415,EC-1.1.1,3-DEHYDRO-SHIKIMATE
416,EC-1.1.1,NADH
417,EC-1.1.1,PROTON
418,EC-1.1.1,CPD-13381
419,EC-1.1.1,NADPH
420,EC-1.1.1,PROTON
421,EC-1.1.1,tRNA-uridines
422,EC-1.1.1,NADPH
423,EC-1.1.1,PROTON
424,EC-1.1.1,2-aminomalonyl-semialdehyde-PCP
425,EC-1.1.1,NADH
426,EC-1.1.1,PROTON
427,EC-1.1.1,CPD-13847
428,EC-1.1.1,NADH-P-OR-NOP
429,EC-1.1.1,PROTON
430,EC-1.1.1,11-cis-3-hydroxyretinal-RBPs
431,EC-1.1.1,NADPH
432,EC-1.1.1,PROTON
433,EC-1.1.1,Beta-keto-Tyr-S-NovH
434,EC-1.1.1,NADPH
435,EC-1.1.1,PROTON
436,EC-1.1.1,PROTON
437,EC-1.1.1,TARTRONATE-S-ALD
438,EC-1.1.1,NADH
439,EC-1.1.1,CPD-15495
440,EC-1.1.1,NADH
441,EC-1.1.1,PROTON
442,EC-1.1.1,BETAINE_ALDEHYDE
443,EC-1.1.1,NADPH
444,EC-1.1.1,PROTON
445,EC-1.1.1,CPD-255
446,EC-1.1.1,NADH
447,EC-1.1.1,PROTON
448,EC-1.1.1,INDOLE_ACETALDEHYDE
449,EC-1.1.1,NADH-P-OR-NOP
450,EC-1.1.1,PROTON
451,EC-1.1.1,CPD-10354
452,EC-1.1.1,NADH
453,EC-1.1.1,PROTON
454,EC-1.1.1,CPD-12215
455,EC-1.1.1,NADPH
456,EC-1.1.1,CPD-18248
457,EC-1.1.1,NADH-P-OR-NOP
458,EC-1.1.1,PROTON
459,EC-1.1.1,CPD-16722
460,EC-1.1.1,NADPH
461,EC-1.1.1,PROTON
462,EC-1.1.1,SORBITOL
463,EC-1.1.1,NADP
464,EC-1.1.1,EPISTEROL
465,EC-1.1.1,NADP
466,EC-1.1.1,CPD-14682
467,EC-1.1.1,NADPH
468,EC-1.1.1,PROTON
469,EC-1.1.1,CPD-548
470,EC-1.1.1,NADH
471,EC-1.1.1,PROTON
472,EC-1.1.1,PROTON
473,EC-1.1.1,OH-PYR
474,EC-1.1.1,NADPH
475,EC-1.1.1,CPD-16843
476,EC-1.1.1,NAD
477,EC-1.1.1,5-DEHYDROGLUCONATE
478,EC-1.1.1,NADPH
479,EC-1.1.1,PROTON
480,EC-1.1.1,CPD-17157
481,EC-1.1.1,NADPH
482,EC-1.1.1,PROTON
483,EC-1.1.1,CPD-19089
484,EC-1.1.1,NADH
485,EC-1.1.1,PROTON
486,EC-1.1.1,CPD-14804
487,EC-1.1.1,NADH
488,EC-1.1.1,PROTON
489,EC-1.1.1,CPD-21413
490,EC-1.1.1,NADH
491,EC-1.1.1,PROTON
492,EC-1.1.1,CPD-13798
493,EC-1.1.1,NADH
494,EC-1.1.1,PROTON
495,EC-1.1.1,CPD-9826
496,EC-1.1.1,NADPH
497,EC-1.1.1,PROTON
498,EC-1.1.1,PROTON
499,EC-1.1.1,L-GLYCERALDEHYDE-3-PHOSPHATE
500,EC-1.1.1,NADPH
501,EC-1.1.1,CPD-16568
502,EC-1.1.1,NAD
503,EC-1.1.1,CPD-18494
504,EC-1.1.1,NADH
505,EC-1.1.1,PROTON
506,EC-1.1.1,ACETOL
507,EC-1.1.1,NAD
508,EC-1.1.1,CPD-15523
509,EC-1.1.1,NADPH
510,EC-1.1.1,PROTON
511,EC-1.1.1,CPD-18245
512,EC-1.1.1,NADH-P-OR-NOP
513,EC-1.1.1,PROTON
514,EC-1.1.1,CPD-13059
515,EC-1.1.1,NADPH
516,EC-1.1.1,PROTON
517,EC-1.1.1,CPD-17888
518,EC-1.1.1,NADP
519,EC-1.1.1,CPD-17388
520,EC-1.1.1,NADH
521,EC-1.1.1,PROTON
522,EC-1.1.1,CORTISONE
523,EC-1.1.1,NADPH
524,EC-1.1.1,PROTON
525,EC-1.1.1,CPD-14355
526,EC-1.1.1,NADPH
527,EC-1.1.1,PROTON
528,EC-1.1.1,CPD-15326
529,EC-1.1.1,CARBON-DIOXIDE
530,EC-1.1.1,NADH
531,EC-1.1.1,CPD-10598
532,EC-1.1.1,NADH
533,EC-1.1.1,PROTON
534,EC-1.1.1,CPD-17076
535,EC-1.1.1,NADH
536,EC-1.1.1,PROTON
537,EC-1.1.1,CPD-14067
538,EC-1.1.1,NADH
539,EC-1.1.1,PROTON
540,EC-1.1.1,2-hydroxy-3-oxopropanoyl-ACP
541,EC-1.1.1,NADH
542,EC-1.1.1,PROTON
543,EC-1.1.1,PROTON
544,EC-1.1.1,CPD-1072
545,EC-1.1.1,NADH
546,EC-1.1.1,CPD-15639
547,EC-1.1.1,NADH-P-OR-NOP
548,EC-1.1.1,PROTON
549,EC-1.1.1,RIBULOSE-5P
550,EC-1.1.1,NADH
551,EC-1.1.1,PROTON
552,EC-1.1.1,NICOTINE
553,EC-1.1.1,NADPH
554,EC-1.1.1,PROTON
555,EC-1.1.1.1,5-HYDROXYINDOLE_ACETALDEHYDE
556,EC-1.1.1.1,NADH
557,EC-1.1.1.1,PROTON
558,EC-1.1.1.1,PROTON
559,EC-1.1.1.1,METHYLBUT-CPD
560,EC-1.1.1.1,NADH
561,EC-1.1.1.1,LONG-CHAIN-KETONE
562,EC-1.1.1.1,NADH
563,EC-1.1.1.1,PROTON
564,EC-1.1.1.1,3-INDOLYLGLYCOLALDEHYDE
565,EC-1.1.1.1,NADH
566,EC-1.1.1.1,PROTON
567,EC-1.1.1.1,PROTON
568,EC-1.1.1.1,CPD-7031
569,EC-1.1.1.1,NADH
570,EC-1.1.1.1,Aldehydes
571,EC-1.1.1.1,NADH
572,EC-1.1.1.1,PROTON
573,EC-1.1.1.1,PROTON
574,EC-1.1.1.1,CPD-7000
575,EC-1.1.1.1,NADH
576,EC-1.1.1.1,CPD-14926
577,EC-1.1.1.1,NADH
578,EC-1.1.1.1,PROTON
579,EC-1.1.1.1,PROTON
580,EC-1.1.1.1,HYDRPHENYLAC-CPD
581,EC-1.1.1.1,NADH
582,EC-1.1.1.1,CPD-7036
583,EC-1.1.1.1,NADH
584,EC-1.1.1.1,PROTON
585,EC-1.1.1.1,ACETALD
586,EC-1.1.1.1,NADH
587,EC-1.1.1.1,PROTON
588,EC-1.1.1.1,CPD-11876
589,EC-1.1.1.1,NADH
590,EC-1.1.1.1,PROTON
591,EC-1.1.1.1,PROTON
592,EC-1.1.1.1,PHENYLACETALDEHYDE
593,EC-1.1.1.1,NADH
594,EC-1.1.1.1,CPD-665
595,EC-1.1.1.1,NADH
596,EC-1.1.1.1,PROTON
597,EC-1.1.1.10,3-oxo-stearoyl-ACPs
598,EC-1.1.1.10,NADPH
599,EC-1.1.1.10,PROTON
600,EC-1.1.1.100,3-oxo-cis-D7-tetradecenoyl-ACPs
601,EC-1.1.1.100,NADPH
602,EC-1.1.1.100,PROTON
603,EC-1.1.1.100,3-oxo-behenoyl-ACPs
604,EC-1.1.1.100,NADPH
605,EC-1.1.1.100,PROTON
606,EC-1.1.1.100,9Z-3-oxo-octadec-9-enoyl-ACPs
607,EC-1.1.1.100,NADPH
608,EC-1.1.1.100,PROTON
609,EC-1.1.1.100,3-oxo-palmitoyl-ACPs
610,EC-1.1.1.100,NADPH
611,EC-1.1.1.100,PROTON
612,EC-1.1.1.100,3-Ketoglutaryl-ACP-methyl-ester
613,EC-1.1.1.100,NADPH
614,EC-1.1.1.100,PROTON
615,EC-1.1.1.100,3-oxo-dodecanoyl-ACPs
616,EC-1.1.1.100,NADPH
617,EC-1.1.1.100,PROTON
618,EC-1.1.1.100,11Z-3-oxo-icos-11-enoyl-ACPs
619,EC-1.1.1.100,NADPH
620,EC-1.1.1.100,PROTON
621,EC-1.1.1.100,3-Oxo-octanoyl-ACPs
622,EC-1.1.1.100,NADPH
623,EC-1.1.1.100,PROTON
624,EC-1.1.1.100,7Z-3-oxo-hexadec-7-enoyl-ACPs
625,EC-1.1.1.100,NADPH
626,EC-1.1.1.100,PROTON
627,EC-1.1.1.100,3-Ketopimeloyl-ACP-methyl-esters
628,EC-1.1.1.100,NADPH
629,EC-1.1.1.100,PROTON
630,EC-1.1.1.100,3-oxo-cerotoyl-ACPs
631,EC-1.1.1.100,NADPH
632,EC-1.1.1.100,PROTON
633,EC-1.1.1.100,b-Keto-cis-D5-dodecenoyl-ACPs
634,EC-1.1.1.100,NADPH
635,EC-1.1.1.100,PROTON
636,EC-1.1.1.100,3-oxo-petroselinoyl-ACPs
637,EC-1.1.1.100,NADPH
638,EC-1.1.1.100,PROTON
639,EC-1.1.1.100,Acetoacetyl-ACPs
640,EC-1.1.1.100,NADPH
641,EC-1.1.1.100,PROTON
642,EC-1.1.1.100,3-oxo-cis-vaccenoyl-ACPs
643,EC-1.1.1.100,NADPH
644,EC-1.1.1.100,PROTON
645,EC-1.1.1.100,3-oxo-behenoyl-ACPs
646,EC-1.1.1.100,NADPH
647,EC-1.1.1.100,PROTON
648,EC-1.1.1.100,5Z-3-oxo-tetradec-5-enoyl-ACPs
649,EC-1.1.1.100,NADPH
650,EC-1.1.1.100,PROTON
651,EC-1.1.1.100,3-oxo-arachidoyl-ACPs
652,EC-1.1.1.100,NADPH
653,EC-1.1.1.100,PROTON
654,EC-1.1.1.100,3-oxo-lignoceroyl-ACPs
655,EC-1.1.1.100,NADPH
656,EC-1.1.1.100,PROTON
657,EC-1.1.1.100,3-oxo-myristoyl-ACPs
658,EC-1.1.1.100,NADPH
659,EC-1.1.1.100,PROTON
660,EC-1.1.1.100,3-oxo-hexanoyl-ACPs
661,EC-1.1.1.100,NADPH
662,EC-1.1.1.100,PROTON
663,EC-1.1.1.100,3-oxo-cis-D9-hexadecenoyl-ACPs
664,EC-1.1.1.100,NADPH
665,EC-1.1.1.100,PROTON
666,EC-1.1.1.100,3-oxo-decanoyl-ACPs
667,EC-1.1.1.100,NADPH
668,EC-1.1.1.100,PROTON
669,EC-1.1.1.100,3-OXO-EICOSAPENTAENOYL-ACP
670,EC-1.1.1.100,NADPH
671,EC-1.1.1.100,PROTON
672,EC-1.1.1.100,B-KETOACYL-ACP
673,EC-1.1.1.100,NADPH
674,EC-1.1.1.100,PROTON
675,EC-1.1.1.101,PALMITOYLGLYCERONE-PHOSPHATE
676,EC-1.1.1.101,NADPH
677,EC-1.1.1.101,PROTON
678,EC-1.1.1.101,CPD-15924
679,EC-1.1.1.101,NADPH
680,EC-1.1.1.101,PROTON
681,EC-1.1.1.101,1-ALKYL-GLYCERONE-3-PHOSPHATE
682,EC-1.1.1.101,NADPH
683,EC-1.1.1.101,PROTON
684,EC-1.1.1.102,DEHYDROSPHINGANINE
685,EC-1.1.1.102,NADPH
686,EC-1.1.1.102,PROTON
687,EC-1.1.1.102,CPD-13610
688,EC-1.1.1.102,NADPH
689,EC-1.1.1.102,PROTON
690,EC-1.1.1.103,AMINO-ACETONE
691,EC-1.1.1.103,CARBON-DIOXIDE
692,EC-1.1.1.103,NADH
693,EC-1.1.1.104,RETINAL
694,EC-1.1.1.104,NADH
695,EC-1.1.1.104,PROTON
696,EC-1.1.1.105,CRPB-all-trans-Retinal
697,EC-1.1.1.105,NADH
698,EC-1.1.1.105,PROTON
699,EC-1.1.1.106,CPD-375
700,EC-1.1.1.106,NADH
701,EC-1.1.1.106,PROTON
702,EC-1.1.1.107,3-DE-H-CARNITINE
703,EC-1.1.1.107,NADH
704,EC-1.1.1.107,PROTON
705,EC-1.1.1.108,D-XYLULOSE
706,EC-1.1.1.108,NADH
707,EC-1.1.1.108,PROTON
708,EC-1.1.1.11,INDOLE_PYRUVATE
709,EC-1.1.1.11,NADH
710,EC-1.1.1.11,PROTON
711,EC-1.1.1.110,PHENYL-PYRUVATE
712,EC-1.1.1.110,NADH
713,EC-1.1.1.110,PROTON
714,EC-1.1.1.110,P-HYDROXY-PHENYLPYRUVATE
715,EC-1.1.1.110,NADH
716,EC-1.1.1.110,PROTON
717,EC-1.1.1.111,1-INDANONE
718,EC-1.1.1.111,NADH-P-OR-NOP
719,EC-1.1.1.111,PROTON
720,EC-1.1.1.112,PROTON
721,EC-1.1.1.112,NADPH
722,EC-1.1.1.112,L-XYLONO-14-LACTONE
723,EC-1.1.1.113,D-APIOSE
724,EC-1.1.1.113,NADH
725,EC-1.1.1.113,PROTON
726,EC-1.1.1.114,NADPH
727,EC-1.1.1.114,CPD-373
728,EC-1.1.1.114,PROTON
729,EC-1.1.1.115,PROTON
730,EC-1.1.1.115,NADH
731,EC-1.1.1.115,CPD-356
732,EC-1.1.1.116,CPD-356
733,EC-1.1.1.116,NADH-P-OR-NOP
734,EC-1.1.1.116,PROTON
735,EC-1.1.1.117,GLC-D-LACTONE
736,EC-1.1.1.117,NADH
737,EC-1.1.1.117,PROTON
738,EC-1.1.1.118,GLC-D-LACTONE
739,EC-1.1.1.118,NADPH
740,EC-1.1.1.118,PROTON
741,EC-1.1.1.119,L-XYLULOSE
742,EC-1.1.1.119,NADH
743,EC-1.1.1.119,PROTON
744,EC-1.1.1.12,CPD-14779
745,EC-1.1.1.12,NADPH
746,EC-1.1.1.12,PROTON
