,EC,SUBS
375,EC-1.1.1,L-gulopyranose
376,EC-1.1.1,NAD
377,EC-1.1.1,CPD-14102
378,EC-1.1.1,NAD
379,EC-1.1.1,CPD-13538
380,EC-1.1.1,NAD
381,EC-1.1.1,THREO-DS-ISO-CITRATE
382,EC-1.1.1,NAD
383,EC-1.1.1,ETHYL-2R-METHYL-3S-HYDROXYBUTANOATE
384,EC-1.1.1,NADP
385,EC-1.1.1,UDP-L-RHAMNOSE
386,EC-1.1.1,NADP
387,EC-1.1.1,CPD-15731
388,EC-1.1.1,NADP
389,EC-1.1.1,CARBOXYMETHYL-HYDROXYPHENYLPROPCOA
390,EC-1.1.1,NAD
391,EC-1.1.1,CPD-15803
392,EC-1.1.1,NADP
393,EC-1.1.1,CPD-17506
394,EC-1.1.1,NADP
395,EC-1.1.1,CPD-7035
396,EC-1.1.1,NADP
397,EC-1.1.1,D-arabinofuranose
398,EC-1.1.1,NADP
399,EC-1.1.1,CPD-1112
400,EC-1.1.1,NAD
401,EC-1.1.1,CPD-15958
402,EC-1.1.1,NADP
403,EC-1.1.1,CPD-13957
404,EC-1.1.1,NADP
405,EC-1.1.1,CPD-17406
406,EC-1.1.1,NADH-P-OR-NOP
407,EC-1.1.1,PROTON
408,EC-1.1.1,DIHYDRO-SPHINGOSINE
409,EC-1.1.1,NAD
410,EC-1.1.1,All-trans-3-hydroxyretinol-RBPs
411,EC-1.1.1,NADP
412,EC-1.1.1,CPD-10596
413,EC-1.1.1,NAD
414,EC-1.1.1,CPD-7600
415,EC-1.1.1,NADPH
416,EC-1.1.1,PROTON
417,EC-1.1.1,SHIKIMATE
418,EC-1.1.1,NAD
419,EC-1.1.1,CPD-13956
420,EC-1.1.1,NADP
421,EC-1.1.1,tRNA-Dihydrouridines
422,EC-1.1.1,NADP
423,EC-1.1.1,Seryl-Seryl-Carrier-Proteins
424,EC-1.1.1,NAD
425,EC-1.1.1,CPD-15648
426,EC-1.1.1,NAD-P-OR-NOP
427,EC-1.1.1,11-cis-3-hydroxyretinol-RBPs
428,EC-1.1.1,NADP
429,EC-1.1.1,Beta-OH-Tyr-S-NovH
430,EC-1.1.1,NADP
431,EC-1.1.1,GLYCERATE
432,EC-1.1.1,NAD
433,EC-1.1.1,CPD-15496
434,EC-1.1.1,NAD
435,EC-1.1.1,CHOLINE
436,EC-1.1.1,NADP
437,EC-1.1.1,CPD-12004
438,EC-1.1.1,NAD
439,EC-1.1.1,CPD-341
440,EC-1.1.1,NAD-P-OR-NOP
441,EC-1.1.1,CPD-19086
442,EC-1.1.1,NAD
443,EC-1.1.1,CPD-9933
444,EC-1.1.1,ACET
445,EC-1.1.1,NADP
446,EC-1.1.1,CPD-18247
447,EC-1.1.1,NAD-P-OR-NOP
448,EC-1.1.1,CPD-16721
449,EC-1.1.1,NADP
450,EC-1.1.1,NADPH
451,EC-1.1.1,CPD-13036
452,EC-1.1.1,PROTON
453,EC-1.1.1,CPD-12910
454,EC-1.1.1,NADPH
455,EC-1.1.1,PROTON
456,EC-1.1.1,CPD-14683
457,EC-1.1.1,NADP
458,EC-1.1.1,S-HYDROXYMETHYLGLUTATHIONE
459,EC-1.1.1,NAD
460,EC-1.1.1,GLYCERATE
461,EC-1.1.1,NADP
462,EC-1.1.1,11-DEOXYCORTICOSTERONE
463,EC-1.1.1,NADH
464,EC-1.1.1,PROTON
465,EC-1.1.1,GLUCONATE
466,EC-1.1.1,NADP
467,EC-1.1.1,L-Galactopyranose
468,EC-1.1.1,NADP
469,EC-1.1.1,CPD-19060
470,EC-1.1.1,NAD
471,EC-1.1.1,CPD-3607
472,EC-1.1.1,NAD
473,EC-1.1.1,CPD-21412
474,EC-1.1.1,NAD
475,EC-1.1.1,CPD-13796
476,EC-1.1.1,NAD
477,EC-1.1.1,CPD-9835
478,EC-1.1.1,CPD-9847
479,EC-1.1.1,NADP
480,EC-1.1.1,GLYCEROL-3P
481,EC-1.1.1,NADP
482,EC-1.1.1,CORTISOL
483,EC-1.1.1,NADH
484,EC-1.1.1,PROTON
485,EC-1.1.1,CPD-18493
486,EC-1.1.1,NAD
487,EC-1.1.1,PROTON
488,EC-1.1.1,METHYL-GLYOXAL
489,EC-1.1.1,NADH
490,EC-1.1.1,CPD-15524
491,EC-1.1.1,NADP
492,EC-1.1.1,CPD-18249
493,EC-1.1.1,NAD-P-OR-NOP
494,EC-1.1.1,L-IDONATE
495,EC-1.1.1,NADP
496,EC-1.1.1,CPD-17887
497,EC-1.1.1,NADPH
498,EC-1.1.1,PROTON
499,EC-1.1.1,CPD-17387
500,EC-1.1.1,NAD
501,EC-1.1.1,CORTISOL
502,EC-1.1.1,NADP
503,EC-1.1.1,CPD-13955
504,EC-1.1.1,NADP
505,EC-1.1.1,CPD-15324
506,EC-1.1.1,NAD
507,EC-1.1.1,CPD-10597
508,EC-1.1.1,NAD
509,EC-1.1.1,CPD-17075
510,EC-1.1.1,NAD
511,EC-1.1.1,CPD-14065
512,EC-1.1.1,NAD
513,EC-1.1.1,D-Glyceryl-ACP
514,EC-1.1.1,NAD
515,EC-1.1.1,CPD-10601
516,EC-1.1.1,NAD
517,EC-1.1.1,CPD-14795
518,EC-1.1.1,NAD-P-OR-NOP
519,EC-1.1.1,WATER
520,EC-1.1.1,CPD-12080
521,EC-1.1.1,NAD
522,EC-1.1.1,CPD-14076
523,EC-1.1.1,NADP
524,EC-1.1.1,CPD-1242
525,EC-1.1.1,NADPH
526,EC-1.1.1,PROTON
527,EC-1.1.1,CPD-14806
528,EC-1.1.1,NADPH
529,EC-1.1.1,PROTON
530,EC-1.1.1,CPD-18794
531,EC-1.1.1,Acceptor
532,EC-1.1.1,CPD-19088
533,EC-1.1.1,NADH
534,EC-1.1.1,PROTON
535,EC-1.1.1,cis-D21-39-oxo-40-Me-C59-1-ACPs
536,EC-1.1.1,Donor-H2
537,EC-1.1.1,CPD-10353
538,EC-1.1.1,NADH
539,EC-1.1.1,PROTON
540,EC-1.1.1,CPD-15642
541,EC-1.1.1,NADH-P-OR-NOP
542,EC-1.1.1,PROTON
543,EC-1.1.1,GLYCEROL
544,EC-1.1.1,NAD-P-OR-NOP
545,EC-1.1.1,CPD-12906
546,EC-1.1.1,Donor-H2
547,EC-1.1.1,CPD-10512
548,EC-1.1.1,NADPH
549,EC-1.1.1,PROTON
550,EC-1.1.1,PROTON
551,EC-1.1.1,CPD-7257
552,EC-1.1.1,NADH
553,EC-1.1.1,3S-11-cis-3-hydroxyretinal-RBPs
554,EC-1.1.1,NADPH
555,EC-1.1.1,PROTON
556,EC-1.1.1,CPD-16423
557,EC-1.1.1,NADPH
558,EC-1.1.1,PROTON
559,EC-1.1.1,CPD-380
560,EC-1.1.1,Donor-H2
561,EC-1.1.1,HYDROXYPROPANAL
562,EC-1.1.1,NADPH
563,EC-1.1.1,PROTON
564,EC-1.1.1,CPD-12680
565,EC-1.1.1,CARBON-DIOXIDE
566,EC-1.1.1,NADH
567,EC-1.1.1,CPD-13987
568,EC-1.1.1,NADPH
569,EC-1.1.1,PROTON
570,EC-1.1.1,CPD-17012
571,EC-1.1.1,NADH-P-OR-NOP
572,EC-1.1.1,PROTON
573,EC-1.1.1,CPD-14806
574,EC-1.1.1,NADH
575,EC-1.1.1,PROTON
576,EC-1.1.1,DIACETYL
577,EC-1.1.1,NADPH
578,EC-1.1.1,PROTON
579,EC-1.1.1,CPD-17409
580,EC-1.1.1,NADP
581,EC-1.1.1,3R-All-trans-3-hydroxyretinal-RBPs
582,EC-1.1.1,NADPH
583,EC-1.1.1,PROTON
584,EC-1.1.1,PROTON
585,EC-1.1.1,25-DICHLOROHYDROQUINONE
586,EC-1.1.1,NADH
587,EC-1.1.1,CPD-16613
588,EC-1.1.1,NADH-P-OR-NOP
589,EC-1.1.1,PROTON
590,EC-1.1.1,CPD-7000
591,EC-1.1.1,NADPH
592,EC-1.1.1,PROTON
593,EC-1.1.1,CPD-18245
594,EC-1.1.1,NADH-P-OR-NOP
595,EC-1.1.1,PROTON
596,EC-1.1.1,CPD-17623
597,EC-1.1.1,NADPH
598,EC-1.1.1,PROTON
599,EC-1.1.1,CPD-16724
600,EC-1.1.1,NADPH
601,EC-1.1.1,PROTON
602,EC-1.1.1,CPD-14357
603,EC-1.1.1,NADPH
604,EC-1.1.1,PROTON
605,EC-1.1.1,CPD-13059
606,EC-1.1.1,NAD-P-OR-NOP
607,EC-1.1.1,CPD-17728
608,EC-1.1.1,NADH
609,EC-1.1.1,CARBON-DIOXIDE
610,EC-1.1.1,BETAINE_ALDEHYDE
611,EC-1.1.1,NADH
612,EC-1.1.1,PROTON
613,EC-1.1.1,CPD-16614
614,EC-1.1.1,NADH-P-OR-NOP
615,EC-1.1.1,PROTON
616,EC-1.1.1,CPD-10260
617,EC-1.1.1,NADPH
618,EC-1.1.1,PROTON
619,EC-1.1.1,CPD-17502
620,EC-1.1.1,NADP
621,EC-1.1.1,CPD-15236
622,EC-1.1.1,NADH
623,EC-1.1.1,PROTON
624,EC-1.1.1,FRUCTURONATE
625,EC-1.1.1,NADPH
626,EC-1.1.1,PROTON
627,EC-1.1.1,CPD4FS-7
628,EC-1.1.1,Acceptor
629,EC-1.1.1,PROTON
630,EC-1.1.1,CPD-10220
631,EC-1.1.1,NADH
632,EC-1.1.1,CPD-1089
633,EC-1.1.1,NADH
634,EC-1.1.1,PROTON
635,EC-1.1.1,CPD-13228
636,EC-1.1.1,NADPH
637,EC-1.1.1,PROTON
638,EC-1.1.1,CPD-18134
639,EC-1.1.1,NAD-P-OR-NOP
640,EC-1.1.1,CPD1A0-6105
641,EC-1.1.1,NADP
642,EC-1.1.1,2-OXOBUTANOATE
643,EC-1.1.1,CARBON-DIOXIDE
644,EC-1.1.1,NADH
645,EC-1.1.1,BUTANAL
646,EC-1.1.1,NADH
647,EC-1.1.1,PROTON
648,EC-1.1.1,PROTON
649,EC-1.1.1,25-DIDEHYDRO-D-GLUCONATE
650,EC-1.1.1,NADPH
651,EC-1.1.1,CPD-13560
652,EC-1.1.1,NAD-P-OR-NOP
653,EC-1.1.1,CPD-18545
654,EC-1.1.1,NADH
655,EC-1.1.1,PROTON
656,EC-1.1.1,CPD-14102
657,EC-1.1.1,NAD-P-OR-NOP
658,EC-1.1.1,CPD-17633
659,EC-1.1.1,NADPH
660,EC-1.1.1,PROTON
661,EC-1.1.1,CPD-18213
662,EC-1.1.1,NADH-P-OR-NOP
663,EC-1.1.1,PROTON
664,EC-1.1.1,CIS-3-HEXENOL
665,EC-1.1.1,NADP
666,EC-1.1.1,CPD-16848
667,EC-1.1.1,NAD
668,EC-1.1.1,CPD-12970
669,EC-1.1.1,NADH
670,EC-1.1.1,PROTON
671,EC-1.1.1,CPD-13954
672,EC-1.1.1,NADPH
673,EC-1.1.1,PROTON
674,EC-1.1.1,CPD-18129
675,EC-1.1.1,NAD-P-OR-NOP
676,EC-1.1.1,CPD-17489
677,EC-1.1.1,NADPH
678,EC-1.1.1,PROTON
679,EC-1.1.1,HEXANAL
680,EC-1.1.1,NADH
681,EC-1.1.1,PROTON
682,EC-1.1.1,CPD-9848
683,EC-1.1.1,NADPH
684,EC-1.1.1,PROTON
685,EC-1.1.1,CPD-16887
686,EC-1.1.1,NADH
687,EC-1.1.1,PROTON
688,EC-1.1.1,CPD-17966
689,EC-1.1.1,NADPH
690,EC-1.1.1,PROTON
691,EC-1.1.1,CPD-13699
692,EC-1.1.1,NADH
693,EC-1.1.1,PROTON
694,EC-1.1.1,CPD-12694
695,EC-1.1.1,NADPH
696,EC-1.1.1,PROTON
697,EC-1.1.1,SULFOACETALDEHYDE
698,EC-1.1.1,WATER
699,EC-1.1.1,Acceptor
700,EC-1.1.1,CPD-15903
701,EC-1.1.1,NADPH
702,EC-1.1.1,PROTON
703,EC-1.1.1,CPD-18186
704,EC-1.1.1,CPD-16614
705,EC-1.1.1,NADH-P-OR-NOP
706,EC-1.1.1,PROTON
707,EC-1.1.1,2-Oxo-4-IPCH-1-carboxyl-CoA
708,EC-1.1.1,NADH
709,EC-1.1.1,PROTON
710,EC-1.1.1,CPD-16837
711,EC-1.1.1,NADH-P-OR-NOP
712,EC-1.1.1,PROTON
713,EC-1.1.1,CPD-14061
714,EC-1.1.1,NADH
715,EC-1.1.1,PROTON
716,EC-1.1.1,CPD-7093
717,EC-1.1.1,NADH-P-OR-NOP
718,EC-1.1.1,PROTON
719,EC-1.1.1,HYDROXYLATED-TETRAKETIDE-PYRONE
720,EC-1.1.1,NADPH
721,EC-1.1.1,PROTON
722,EC-1.1.1,DIACETYL
723,EC-1.1.1,NADH
724,EC-1.1.1,PROTON
725,EC-1.1.1,GLYCEROL
726,EC-1.1.1,NAD-P-OR-NOP
727,EC-1.1.1,METHYLOXALO-ACETATE
728,EC-1.1.1,NADH
729,EC-1.1.1,PROTON
730,EC-1.1.1,CPD-17501
731,EC-1.1.1,NADP
732,EC-1.1.1,NAD-P-OR-NOP
733,EC-1.1.1,D-SORBITOL-6-P
734,EC-1.1.1,CPD-17059
735,EC-1.1.1,Donor-H2
736,EC-1.1.1,CPD-337
737,EC-1.1.1,CARBON-DIOXIDE
738,EC-1.1.1,NADH
739,EC-1.1.1,CPD-11572
740,EC-1.1.1,NADH
741,EC-1.1.1,PROTON
742,EC-1.1.1,3-DEHYDRO-ALPHA-GLUCOSE
743,EC-1.1.1,NADPH
744,EC-1.1.1,PROTON
745,EC-1.1.1,CPD-13525
746,EC-1.1.1,NADH
747,EC-1.1.1,PROTON
748,EC-1.1.1,CPD-12694
749,EC-1.1.1,NADH
750,EC-1.1.1,PROTON
751,EC-1.1.1,CPD-7725
752,EC-1.1.1,Donor-H2
753,EC-1.1.1,CPD-13381
754,EC-1.1.1,NADPH
755,EC-1.1.1,PROTON
756,EC-1.1.1,CPD-13847
757,EC-1.1.1,NADH-P-OR-NOP
758,EC-1.1.1,PROTON
759,EC-1.1.1,ECDYSONE
760,EC-1.1.1,NAD
761,EC-1.1.1,CPD-13036
762,EC-1.1.1,NADH
763,EC-1.1.1,PROTON
764,EC-1.1.1,CPD-13059
765,EC-1.1.1,Donor-H2
766,EC-1.1.1,PROTON
767,EC-1.1.1,PROTON
768,EC-1.1.1,METHYL-GLYOXAL
769,EC-1.1.1,NADPH
770,EC-1.1.1,CPD-19486
771,EC-1.1.1,NADH
772,EC-1.1.1,PROTON
773,EC-1.1.1,CPD-881
774,EC-1.1.1,NADPH
775,EC-1.1.1,PROTON
776,EC-1.1.1,CPD-17419
777,EC-1.1.1,NADP
778,EC-1.1.1,CPD-15607
779,EC-1.1.1,NADP
780,EC-1.1.1,CPD-14638
